"Cannot retrieve the payment method model object.","No se puede obtener el modelo del método de pago."
"Countries Allowed","Países permitidos"
"Countries / Regions","Países / Regiones"
"Enabled","Activo"
"Maximum Order Total","Total máximo de la orden"
"Minimum Order Total","Total mínimo de la orden"
"New Order Status","Estátus de la nueva orden"
"Present your order to make your payment at ticket office","Presente su orden para poder hacer el pago en taquilla"
"Sort Order","Orden de clasificación"
"The label for the module which will appear in Magento's checkout payment step","La etiqueta para el módulo que aparecerá en el proceso de pago en Magento"
"Title","Título"
